Car,MPG,new_column
STRING,DOUBLE,2020
Chevrolet Chevelle Malibu,18.0,2020
Buick Skylark 320,15.0,2020
Plymouth Satellite,18.0,2020
AMC Rebel SST,16.0,2020
Ford Torino,17.0,2020
Ford Galaxie 500,15.0,2020
Chevrolet Impala,14.0,2020
Plymouth Fury iii,14.0,2020
Pontiac Catalina,14.0,2020
AMC Ambassador DPL,15.0,2020
Citroen DS-21 Pallas,0,2020
Chevrolet Chevelle Concours (sw),0,2020
Ford Torino (sw),0,2020
Plymouth Satellite (sw),0,2020
AMC Rebel SST (sw),0,2020
Dodge Challenger SE,15.0,2020
Plymouth 'Cuda 340,14.0,2020
Ford Mustang Boss 302,0,2020
Chevrolet Monte Carlo,15.0,2020
Buick Estate Wagon (sw),14.0,2020
Toyota Corolla Mark ii,24.0,2020
Plymouth Duster,22.0,2020
AMC Hornet,18.0,2020
Ford Maverick,21.0,2020
Datsun PL510,27.0,2020
Volkswagen 1131 Deluxe Sedan,26.0,2020
Peugeot 504,25.0,2020
Audi 100 LS,24.0,2020
Saab 99e,25.0,2020
BMW 2002,26.0,2020
AMC Gremlin,21.0,2020
Ford F250,10.0,2020
Chevy C20,10.0,2020
Dodge D200,11.0,2020
Hi 1200D,9.0,2020
Datsun PL510,27.0,2020
Chevrolet Vega 2300,28.0,2020
Toyota Corolla,25.0,2020
Ford Pinto,25.0,2020
Volkswagen Super Beetle 117,0,2020
AMC Gremlin,19.0,2020
Plymouth Satellite Custom,16.0,2020
Chevrolet Chevelle Malibu,17.0,2020
Ford Torino 500,19.0,2020
AMC Matador,18.0,2020
Chevrolet Impala,14.0,2020
Pontiac Catalina Brougham,14.0,2020
Ford Galaxie 500,14.0,2020
Plymouth Fury iii,14.0,2020
Dodge Monaco (sw),12.0,2020
Ford Country Squire (sw),13.0,2020
Pontiac Safari (sw),13.0,2020
AMC Hornet Sportabout (sw),18.0,2020
Chevrolet Vega (sw),22.0,2020
Pontiac Firebird,19.0,2020
Ford Mustang,18.0,2020
Mercury Capri 2000,23.0,2020
Opel 1900,28.0,2020
Peugeot 304,30.0,2020
Fiat 124B,30.0,2020
Toyota Corolla 1200,31.0,2020
Datsun 1200,35.0,2020
Volkswagen Model 111,27.0,2020
Plymouth Cricket,26.0,2020
Toyota Corolla Hardtop,24.0,2020
Dodge Colt Hardtop,25.0,2020
Volkswagen Type 3,23.0,2020
Chevrolet Vega,20.0,2020
Ford Pinto Runabout,21.0,2020
Chevrolet Impala,13.0,2020
Pontiac Catalina,14.0,2020
Plymouth Fury III,15.0,2020
Ford Galaxie 500,14.0,2020
AMC Ambassador SST,17.0,2020
Mercury Marquis,11.0,2020
Buick LeSabre Custom,13.0,2020
Oldsmobile Delta 88 Royale,12.0,2020
Chrysler Newport Royal,13.0,2020
Mazda RX2 Coupe,19.0,2020
AMC Matador (sw),15.0,2020
Chevrolet Chevelle Concours (sw),13.0,2020
Ford Gran Torino (sw),13.0,2020
Plymouth Satellite Custom (sw),14.0,2020
Volvo 145e (sw),18.0,2020
Volkswagen 411 (sw),22.0,2020
Peugeot 504 (sw),21.0,2020
Renault 12 (sw),26.0,2020
Ford Pinto (sw),22.0,2020
Datsun 510 (sw),28.0,2020
Toyota Corolla Mark II (sw),23.0,2020
Dodge Colt (sw),28.0,2020
Toyota Corolla 1600 (sw),27.0,2020
Buick Century 350,13.0,2020
AMC Matador,14.0,2020
Chevrolet Malibu,13.0,2020
Ford Gran Torino,14.0,2020
Dodge Coronet Custom,15.0,2020
Mercury Marquis Brougham,12.0,2020
Chevrolet Caprice Classic,13.0,2020
Ford LTD,13.0,2020
Plymouth Fury Gran Sedan,14.0,2020
Chrysler New Yorker Brougham,13.0,2020
Buick Electra 225 Custom,12.0,2020
AMC Ambassador Brougham,13.0,2020
Plymouth Valiant,18.0,2020
Chevrolet Nova Custom,16.0,2020
AMC Hornet,18.0,2020
Ford Maverick,18.0,2020
Plymouth Duster,23.0,2020
